System,Utterance,Source,ref1,ref2,hyp
Online-B,11,"Na severu Čech v podhůří Lužických hor, nedaleko Nového Boru na Českolipsku, v lesích, kterými vedla Hraběcí cesta, se ukrývá několik pískovcových skalních útvarů.
","In northern Bohemia, located at the foothills of the Lužické Mountains, not far from Nový Bor in Českolipsko, in the forests through which the Count's Path lead, there are hidden a few sandstone rock formations.
","In northern Bohemia, at the foothills of the Lusatian Mountains, near the town of Nový Bor in the Česká Lípa District, there are several sandstone rock formations hidden in the forests through which the so-called ""Earl’s Path"" used to pass.
","In the north of Bohemia, in the foothills of the Lusatian Mountains, near Nový Bor in the Českolipsko region, in the forests through which the Hraběcí cesta led, several sandstone rock formations are hidden.
"
Online-B,12,"Přírodních i uměle vytvořených.
","Both of natural and artificial origins.
","Some are natural, others man-made.
","Natural and artificial.
"
Online-B,13,"A my se vydáme za tím lidskou rukou vytvořeným.
","And we will go to a one of them made by human beings.
","We’ll be taking a look on the one created by humans.
","And we will go after that human hand created.
"
Online-B,14,"Místu se říká Jeskyně u poustevníka.
","The place is called the Hermit's Cave.
","The place is known as the Hermit’s Cave.
","The place is called Hermit Cave.
"
Online-B,15,"Ve skutečnosti tu ale nikdy žádný poustevník nežil a jeskyně sloužila jako úkryt, přesněji úkrytová komora zřejmě na obilí.
","But in fact, no hermit ever lived there and the cave served as a shelter, or more precisely as a storeroom used probably for keeping corn.
","In reality, no hermit has ever lived here; the cave served as a storage place, or rather a place for the storage of corn, it seems.
","In reality, however, no hermit had ever lived here, and the cave served as a shelter, more precisely a shelter chamber probably for grain.
"
Online-B,16,"Jeskyně je vytesaná z boku do skalní ostrožny a přístupná po schodech shora.
","The cave is sculpted from the side of the rock promontory and accessible by stairs from above.
","The cave is carved into the rock’s side, its entrance situated at the bottom of a set of stairs.
","The cave is carved from the side into a rock watchtower and is accessible by stairs from above.
"
Online-B,17,"Přitom ale do poslední chvíle prakticky není vidět.
","But in fact, you can hardly see it till the last minute.
","Yet, it stays out of view until the very last moment.
","At the same time, it is practically invisible until the last moment.
"
Online-B,18,"Prozradí ji až úzké schody vedoucí na jakousi skalní galerii, odkud se teprve vstupuje do skály.
","It is not visible until you see narrow stairs leading to somewhat of a rock gallery from which you can enter the rock itself.
","The only clue to its location is the stairway, which leads into a kind of rocky gallery revealing the entrance.
","It is revealed by narrow stairs leading to a kind of rock gallery, from where you can just enter the rock.
"
Online-B,19,"I když se zdá, že komora je značně daleko od lidských obydlí, v době vzniku mohlo být na náhorní plošině, kde je dnes les, pole.
","Although it seems as if the storeroom was located far away from people's dwellings, at the time of its formation, there might have been a field where there is the forest now.
","Although the storage room is seemingly too far away from human settlements, there might well have been a field on the now forest-covered high ground above.
","Although the chamber appears to be quite far from human dwellings, at the time of its creation there may have been a field on the plateau where the forest is today.
"
Online-B,20,"""To, že ten objekt nemá okno a ani na tradičním místě umístěné topeniště, jednoznačně prokazuje, že tady žádný poustevník nemohl nikdy přežít zimu,"" vysvětluje historik Kamil Podroužek z Filozofické fakulty Jana Evangelisty Purkyně v Ústí nad Labem.
","""The fact that there is neither a window in the object nor furnaces situated at traditional places, proves definitely that no hermit could ever survive the winter here,"" historian Kamil Podroužek from the Faculty of Arts of Jan Evangelista Purkyně in Ústí nad Labem explains.
","“The fact that there’s no window in the object, nor a conventionally situated fire place, proves that no hermit would have ever been able to survive the winter here,” explains Kamil Podroužek, a historian from the Faculty of Arts at Jan Evangelista Purkyně University in Ústí nad Labem.
","""The fact that the building does not have a window and even a fireplace located in a traditional place clearly proves that no hermit could ever survive the winter here,"" explains historian Kamil Podroužek from the Jan Evangelista Purkyně Faculty of Arts in Ústí nad Labem.
"
Online-B,21,"Jednoprostorový objekt má vzadu pouze kamennou lavici sloužící zřejmě k odkládání nádob.
","In the one-room object, there is only a stone bench at the back, which probably served for placing dishes.
","The one-room object contains a mere stone bench, apparently used for crockery storage.
","The one-room building has only a stone bench at the back, which is probably used for storing containers.
"
Online-B,22,"""Vidím to jako komoru na uložení nějakých potravin nebo produktů z pole,"" dodává Kamil Podroužek.
","""I think it was a storeroom where people stored some food or field products,"" Kamil Podroužek adds.
","“The way I see it, this was a storage room for food and crops,” Kamil Podroužek adds.
","""I see it as a chamber for storing some food or products from the field,"" adds Kamil Podroužek.
"
Online-B,23,"Na stěnách jeskyně jsou patrné stopy po nástrojích.
","There are visible tool marks along the caves walls.
","The walls bear marks of tools.
","Traces of tools are visible on the walls of the cave.
"
Online-B,24,"Odlamování pískovce špičákem bylo pro zasvěcené celkem jednoduché a rychlé.
","Breaking sandstone by a pick was for those in the know quite fast and simple.
","Breaking sandstone with a pickaxe was fast and easy for those in the know.
","Breaking the sandstone with a canine was quite simple and fast for the insiders.
"
Online-B,25,"Stačilo vhodně využívat spáry a pískovec postupně odlamovat.
","One just needed to use chinks effectively and break sandstone off gradually.
","One simply had to use the fissures and the sandstone would gradually break off.
","It was enough to make good use of the joints and gradually break off the sandstone.
"
Online-B,26,"Podle délky stopy po špičáku a vůbec způsobu sekání se dá rámcově určit období vzniku jeskyně.
","We can estimate a date of the formation of the cave on the basis of the length of the chink marks and the way how sandstone was broken off.
","Studying the length of the pickaxe marks and the very mode of cutting, it’s possible to outline the time of the cave’s origin.
","Depending on the length of the canine trail and the method of mowing in general, the period of cave formation can be determined in general.
"
Online-B,27,"Podle historika jde pravděpodobně o konec 18. století.
","It is probably dated at the end of the 18th century, according to the historian.
","The historian dates it back to the late 18th century.
","According to the historian, it is probably the end of the 18th century.
"
Online-B,28,"Jeskyně je volně přístupná a podle nepořádku, který se v ní objevuje, tam v dnešních dobách někdo občas přespává.
","The cave is free accessible and obviously, judging by the mess inside, someone stays overnight there from time to time.
","The cave is open to the public and, judging by the mess inside, someone sleeps in it from time to time.
","The cave is freely accessible and according to the mess that appears in it, nowadays someone sleeps there from time to time.
"
Online-B,29,"Pokud se přiblížíte k jeskyni shora od jedné z lesních cest a zaujme vás pod jeskyní tekoucí potůček a nedaleká hraběcí cesta, tak stezku dolů určitě najdete také.
","If you come to the cave from above walking on one of the forest paths and your attention will be atracted by a brooklet flowing below the cave and the nearby Count's Path, then you will surely find also a path leadind downwards.
","If, taking one of the forest trails, you ever come down close to this place, drawn by the brooklet flowing underneath or the Earl’s Path passing nearby, it won’t take you long to discover the stairway down to the cave.
","If you approach the cave from above from one of the forest paths and you are fascinated by a flowing stream and a nearby count's path under the cave, then you will definitely find a path down as well.
"
Online-B,30,"A cestou z lesa vás třeba ještě uchvátí nedaleké Havraní skály.
","And on your way from the forest you may be enthralled by the nearby Raven Rocks as well.
","Leaving the forest, you might want to make another stop to admire the so-called “Rook Rocks” nearby.
","And on the way out of the forest, you may be captivated by the nearby Raven Rocks.
"
Online-B,31,"Žokej Minařík je po těžkém pádu v Německu v umělém spánku
","Jockey Minařík in induced coma after heavy fall in Germany
","After a bad fall, Jockey Minařík lies in an artificially-induced coma in Germany.
","Jockey Minařík is in artificial sleep after a severe fall in Germany
"
Online-B,32,"""Filip je teď v nejlepších rukou.
","""Filip is in good hands now.
","At the moment, Filip is in the best hands possible.
","""Philip is in the best of hands now.
"
Online-B,33,"Institut je na podobné případy zařízen, navíc máme v Hannoveru naštěstí část rodiny.
","The Institute is well-prepared for such cases, aditionally most of the family members are in Hannover.
","The institute is equipped for similar cases and what is more, we luckily have some family in Hannover.
","The institute is equipped for similar cases, moreover, fortunately we have part of the family in Hanover.
"
Online-B,34,"To mi výrazně ulehčuje situaci a také péči o dceru Finju,"" citoval server Jezdci.cz prohlášení Minaříkovy manželky Katji.
","That makes my situasion and also the care of our daughter Finja much easier,"" Jezdci.cz quoted Minařík's wife Katja.
","This really helps make the situation and the care of our daughter Finja more manageable, Minařík's wife Katji, was quoted as saying by the server Jezdci.cz.
","This makes the situation much easier for me and also the care for my daughter Finja, ""the Jezdci.cz server quoted Minařík's wife Katja as saying.
"
Online-B,35,"""Všichni dělají maximum, Filip teď potřebuje čas na rekonvalescenci.
","""Everyone does their best, Filip needs time to recover now.
","Everyone is doing the utmost that they can as Filip now needs time to recover.
","""Everyone is doing their best, Filip now needs time to recover.
"
Online-B,36,"Nemá smysl dávat žádné prognózy.
","There is no use in giving any progosis.
","There is no point in offering a prognosis.
","There is no point in making any predictions.
"
Online-B,37,"Každý, kdo se někdy setkal s problematikou traumat hlavy a pacientů v umělém spánku, ví, že se situace může měnit.
","Anyone who has every faced head injuries and patients in induced coma issues knows that the situation can change.
","Anyone who has any experience with head trauma and patients in artificially-induced comas, knows that the situation can change.
","Anyone who has ever encountered the problem of head trauma and patients in artificial sleep knows that the situation can change.
"
Online-B,38,"Filip je velký bojovník.
","Filip is a big fighter.
","Filip is a big fighter.
","Philip is a great warrior.
"
Online-B,39,"Všichni teď musíme být trpěliví a dát mu čas,"" uvedla žena pětačtyřicetiletého žokeje.
","We all must be patient now and give him time,"" the 45-year-old jockey's wife said.
","All of us must now be patient and give him time, stated the wife of the forty-five year old jockey.
","We all have to be patient now and give him time, ""said the woman of the 45-year-old jockey.
"
Online-B,40,"K finanční podpoře zraněného Minaříka vyzval na twitteru i hvězdný Frankie Dettori, který v sobotu vyhrál v Ascotu posedmé dostih King George VI and Queen Elizabeth Stakes, čímž vyrovnal vyrovnal legendu Lestera Piggotta.
","A message calling on financial support of injured Minařík has been posted on twitter by star Frankie Dettori, who won the 7th race King George VI and Queen Elizabeth Stakes in Ascot on Saturday, by which he matched legendary Lester Piggott.
","Prize-winning Frankie Dettori, who on Saturday won the King George VI and Queen Elizabeth Stakes at Ascot for the seventh time, thereby equalizing with legendary Lester Piggott, announced on Twitter a challenge to raise financial support for the injured Minařík.
","The star Frankie Dettori, who won the seventh King George VI and Queen Elizabeth Stakes race in Ascot on Saturday on Saturday, also called on the injured Minařík on Twitter, thus equaling the legend of Lester Piggott.
"
Online-B,41,"Na serveru Gofundme se k dnešku vybralo téměř 70 tisíc eur.
","Nearly 70,000 EUR have been collected up to now on Gofundme.
","As of today, the server Gofundme has collected around 70 thousand euro.
","To date, almost 70,000 euros have been collected on the Gofundme server.
"
Online-B,42,"Cílem je částka 100 tisíc eur (2,6 milionu korun).
","The taget amount is 100,000 EUR (2,6 million CZK).
","The goal is to raise 100 thousand euro (2.6 million Crowns.)
","The goal is the amount of 100 thousand euros (2.6 million crowns).
"
Online-B,43,"Videorozhodčí vzal fotbalistům Sassuola čtyři góly, prohráli 0:2
","Sassuola's players disallowed four goals by video assistant referee, losing 0:2
","Sassuolo had four goals disallowed by VAR in 0-2 defeat
","The video referee took the Sassuola footballers four goals, losing 0: 2
"
Online-B,44,"Fotbalisté Sassuola sice v sobotním zápase v Neapoli dostali čtyřikrát míč do soupeřovy branky, nakonec se ale museli smířit s porážkou 0:2.
","Although Sassuola's football players scored a goal four times during Saturday's match in Napoli, they had to accept 0:2 defeat in the end.
","In the game against Napoli, footballers of Sassuolo had the ball in the opponent's net four times, but they ultimately had to come to terms with a 0-2 defeat.
","Although the Sassuola footballers got the ball four times in the opponent's goal in Saturday's match in Naples, in the end they had to accept a 0: 2 defeat.
"
Online-B,45,"Ani jeden z jejich gólů rozhodčí po konzultaci s videem kvůli ofsajdu neuznal.
","All their goals were disallowed for offside by the referee after the consultation with VAR.
","All their goals were ruled out for offside by the referee after consulting the VAR screen.
","None of their goals were recognized by the referee after consultation with the video due to offside.
"
Online-B,46,"Podle italských médií jde o rekordní nepřízeň technologie, tolik zásahů ještě nikdy VAR jednomu týmu nezmařil.
","According to Italian media, this has been the ultimate technology misfortune, there have never been a team with so many goals taken away by VAR.
","According to Italian media, no team has ever faced such adversity due to technology, having so many efforts chalked off by VAR.
","According to the Italian media, this is a record adversity of technology, so many interventions have never been thwarted by VAR to one team.
"
Online-B,47,"""VAR byl na Sassuolo přísnější než silniční radar a potrestal ho jako ještě žádný tým.
","""VAR was stricter than a road radar on Sassuolo and they have been punished like no other team before.
","""VAR was harder on Sasuolo than a speed camera would be and punished it more than it ever did any other team.
","""VAR was stricter on Sassuolo than road radar and punished him like no team yet.
"
Online-B,48,"Nová technologie trhá rekordy,"" napsal v komentáři list Gazzetta dello Sport.
","New technology breaks records, Gazzetta dello Sport commented.
","The new technology is breaking records,"" the newspaper La Gazzetta dello Sport wrote in a live text commentary.
","New technology breaks records, ""Gazzetta dello Sport wrote in a commentary.
"
Online-B,49,"""Festival neuznaných gólů Sassuola.
","""Festival of Sassuola's disallowed goals.
","""It was a festival of disallowed goals scored by Sassuolo.
","""Festival of unrecognized goals Sassuola.
"
Online-B,50,"Ještě nikdy nebyl VAR tak přísný na jeden tým,"" přidal list Corriere dello Sport.
","Never before had been VAR so strict on a team,"" Corriere dello Sport added.
","VAR has never been so strict with just one team,"" the newspaper Corriere dello Sport added.
","VAR has never been so strict with one team, ""added Corriere dello Sport.
"
Online-B,51,"Neapol se v sobotu ujala vedení už v 8. minutě, po půl hodině hry se ale zdálo, že Sassuolo vyrovnalo.
","Napoli took the lead in the 8th minute on Saturday but after the first half an hour of the match, Sassuolo seemed to equalize.
","On Saturday, Napoli took the lead in the eighth minute, but it seemed like Sassuolo tied it after half an hour of the game.
","Naples took the lead on Saturday in the 8th minute, but after half an hour of play, Sassuolo seemed to equalize.
"
Online-B,52,"Gól Filipa Djuričiče ale nebyl po zásahu videorozhodčího kvůli ofsajdu uznán.
","However, Filip Djuričič's goal was disallowed for offside after the intervention of VAR.
","However, Filip Đuričić saw his strike denied after VAR ruled it out for offside.
","However, Filip Djuričič's goal was not recognized after the intervention of the video referee due to the offside.
"
Online-B,53,"Ze stejného důvodu pak postupně neplatily ani další Djuričičův zásah a trefy Francesca Caputa a Domenica Berardiho.
","For the same reason, Djuričič's other strikes followed by Francesco Caputa's and Domenico Berardi's efforts were ruled out.
","Another Đuričić's effort as well as a finish by Francesco Caputo and a strike by Domenico Berardi were cancelled out for the same reason.
","For the same reason, Djuričič's other intervention and hits by Francesco Caput and Domenico Berardi gradually did not apply.
"
Online-B,54,"Domácí naopak ještě jeden gól přidali.
","The home team, on the contrary, scored another goal.
","Meanwhile, the host team swept home yet another goal.
","The home team, on the other hand, added another goal.
"
Online-B,55,"Elektromobily hlásí nový rekord.
","Electric vehicles break new record.
","Electric cars are setting a new record.
","Electric cars set a new record.
"
Online-B,56,"V Česku se dobíjely nejvíc v historii
","There have been most rechargings in history in Czech Republic
","Czechs have been using charging stations more than ever before
","In the Czech Republic, they were the most recharged in history
"
Online-B,57,"""Růst táhlo jak 30procentní navýšení počtu stanic v naší síti a trend častějšího nabíjení na veřejných stanicích, tak i zrychlený vývoj registrací nových e-aut,"" uvedl šéf útvaru čistých technologií ČEZ Tomáš Chmelík.
","""The growth has been caused by 30% rise in the number of charging stations in our network and the trend in more frequent recharging at public stations, and also a faster progress in new e-cars registrations,"" Tomáš Chmelík, the Head of Clean Technologies department in ČEZ, said.
","""The growth is powered by a 30% increase in the number of charging stations within our network and by the upward trend of frequent charging at public stations as well as by the faster registration of new electric cars,"" said the head of ČEZ Clean Technology Department, Tomáš Chmelík.
","""The growth was driven by both a 30 percent increase in the number of stations in our network and the trend of more frequent charging at public stations, as well as the accelerated development of new e-car registrations,"" said Tomáš Chmelík, ČEZ's head of clean technology.
"
Online-B,58,"Svůj díl na trhu se hlásí i další velcí hráči, jako jsou například PRE a E.ON, výrobce elektromobilů Tesla, ale třeba i supermarkety Billa a Lidl.
","Other big players demand for their market shares, e.g. PRE or E.ON, electric vehicles producer Tesla, but also supermarkets Billa and Lidl.
","There are also other big players trying to take a bite of the Czech market, for example, PRE, E.ON, car manufacturer Tesla as well as supermarkets Billa and Lidl.
","Other large players, such as PRE and E.ON, the manufacturer of electric cars Tesla, as well as supermarkets Billa and Lidl, are also applying for their share on the market.
"
Online-B,59,"Provozovatele klasických čerpacích stanic zase zastupuje firma MOL.
","Company MOL, on the other hand, represents standard petrol stations operators.
","Regular petrol stations operators are represented by the company MOL.
","The operator of classic filling stations is represented by the company MOL.
"
Online-B,60,"Ta ale zatím čísla nemá.
","However, the company has not had any numbers so far.
","But so far, the company doesn't have any data.
","But she doesn't have numbers yet.
"
Online-B,61,"""Naši síť pro elektromobilitu jsme začali budovat teprve vloni,"" vysvětlila mluvčí firmy Jana Jusková.
","""We only started to build our electric vehicles network last year,"" the company spokeswoman Jana Jusková explained.
","""We've started building our e-mobility network just last year,"" explained the company's spokesperson, Jana Jusková.
","""We only started building our network for electromobility last year,"" explained company spokeswoman Jana Jusková.
"
Online-B,62,"Redakce Deníku však exkluzivně získala data ze všech 216 elektrických stojanů provozovaných právě firmou ČEZ.
","But the Deník's editors exclusively obtained data from all 216 electric stations just operated by company ČEZ.
","However, the editorial staff of Deník newspaper managed to get exclusive data from all 216 charging points operated by ČEZ.
","However, the Deník editorial staff exclusively obtained data from all 216 electric racks operated by ČEZ.
"
Online-B,63,"Vyplývá z nich, že řidiči ze stanic odebrali v průměru 13,5 kWh.
","They show that drivers have taken 13,5 kWh from the stations on average.
","The data show that drivers' average charge is 13,5 kWh per session.
","It follows that the drivers took an average of 13.5 kWh from the stations.
"
Online-B,64,"To odpovídá dojezdu zhruba sto kilometrů menšího elektromobilu.
","That corresponds to about 100 kilometres range with a small electric vehicle.
","That should be enough energy for a smaller electric car to cover up around 100 kilometers.
","This corresponds to the range of about a hundred kilometers of a smaller electric car.
"
Online-B,65,"Pomineme-li drobná čerpání do 1 kWh, trvá průměrné nabíjení dvě a půl hodiny.
","If we ignore small recharging up 1 kWh, an average recharging lasts two and a half hours.
","Putting aside small recharges of up to 1 kWh, the average charging time is two and a half hours.
","Leaving aside small pumps up to 1 kWh, the average charging takes two and a half hours.
"
Online-B,66,"Drtivá většina tankování pak proběhla v bezplatném tarifu.
","Overwhelming majority of recharging was made under a free of charge tariff then.
","The vast majority of recharges were carried out for free.
","The vast majority of refueling then took place in a free tariff.
"
Online-B,67,"Pokud už motoristé za odběr platili, pohybovala se jejich typická útrata kolem 330 korun.
","If drivers paid for offtakes, their standard expenses would be around 330 crowns.
","In cases when motorists paid for charging their vehicles, the average cost was around 330 CZK.
","If motorists had already paid for the collection, their typical expenditure was around 330 crowns.
"
Online-B,68,"Elektromobilita táhne především v hlavním městě.
","Electrical vehicles are popular mainly in the capital city.
","E-mobility is trending mostly in the capital city of Prague.
","Electromobility pulls mainly in the capital.
"
Online-B,69,"Na území Prahy se nachází všech pět nejvytíženějších dobíječek společnosti ČEZ, které svou popularitou zastíní i celá krajská města.
","In Prague, there are located two of five most used charging stations of company ČEZ, which are even much more popular than regional towns.
","The five busiest charging stations of ČEZ are all located in Prague, and their popularity easily outshines many regional cities in Czechia.
","On the territory of Prague, there are all five of CEZ's busiest chargers, which, with their popularity, overshadow entire regional cities.
"
Online-B,70,"Mezi regiony pak vede Olomouc.
","Olomouc is a leading town within regions.
","Among other Czech regions, Olomouc holds a leading position.
","Olomouc then leads between the regions.
"
Online-B,71,"Naopak nejmenší zájem je o odlehlé stanice v pohraničí, například v Bohumíně či v Prachaticích, které často zůstávají po celý den bez využití.
","On the contrary, the least popular are out-of-the-way charging stations in border areas, for example in Bohumín or Prachatice, which are hardly used all day long.
","On the other hand, people show the least interest in the border area, for example, in Bohumín or Prachatice, where it often happens that a whole day passes by, without anyone using the remote charging stations.
","On the contrary, the least interest is in remote stations on the border, for example in Bohumín or Prachatice, which often remain unused throughout the day.
"
Online-B,72,"V Česku je aktuálně registrováno více než čtyři tisíce elektromobilů.
","There have been registered more than 4,000 electrical vehicles in the Czech Republic up to now.
","There are currently over 4,000 electric cars registered in Czechia.
","More than four thousand electric cars are currently registered in the Czech Republic.
"
Online-B,73,"Jen za letošní první pololetí přibylo 1274 nových e-aut.
","There have been 1,274 new e-cars only during the first six months of this year.
","Just in the first half of this year, the number of electric cars has increased by 1,274.
","In the first half of this year alone, 1,274 new e-cars were added.
"
Online-B,74,"V rozsáhlé anketě Deníku ""Češi v pohybu"" uvedlo osm procent čtenářů, že nákup elektromobilu do rodiny zvažují.
","In Deník's large survey called ""Moving Czechs"", 8% of its readers said that they were thinking of buying a family electronic vehicle.
","In an extensive survey called ""Czechs, keep it moving"" conducted by Deník, 8% of the readers stated that they are considering purchasing an electric car for the family.
","In an extensive poll by the daily ""Czechs on the Move"", eight percent of readers said they were considering buying an electric car for the family.
"
Online-B,75,"Pouze třetina respondentů však ví, kde ve svém okolí hledat nejbližší nabíjecí stanici.
","However, only one third of the respondents know where they could find the nearest charging station in their vicinities.
","But only one third of the respondents knew where to find the closest charging station in their area.
","However, only a third of respondents know where to look for the nearest charging station in their area.
"
Online-B,76,"Nejen za lepší zadržování vody.
","Not only for better watr retention.
","Not just better water conservation
","Not just for better water retention.
"
Online-B,77,"V Praze protestovali ekologičtí aktivisté
","Ecological activists protested in Prague
","Ecological activists protested in Prague
","Environmental activists protested in Prague
"
Online-B,78,"Podle organizátorů jsou dosavadní kroky vlády v otázkách ochrany a ozdravení české krajiny a řešení klimatické krize nedostatečné, řečníci vyzvali stát k razantnějšímu přístupu.
","According to the organisers, government's steps in the field of protection and recultovation of the Czech environment and the climate crisis solutins have been insufficient up to now, the speakers called on the state to solve things more vigorously.
","According to organizers, the government's current steps in response to demands to protect and heal Czech's nature as well as its solutions to the climate crisis are insufficient, as speakers called upon the state to take on a tougher approach.
","According to the organizers, the current steps of the government in the issues of protection and recovery of the Czech landscape and the solution to the climate crisis are insufficient, the speakers called on the state to take a more drastic approach.
"
Online-B,79,"Akce s názvem Poslední kapka se zúčastnili zástupci velkých organizací jako Hnutí Duha, Greenpeace nebo Strana zelených, stejně jako menší lokální spolky.
","The event called Poslední kapka was participated by the representatives of big organisations, such as Duha Movement, Greenpeace or the Green Party, as well as small local associations.
","Representatives from large organizations such as the Rainbow Alliance, Greenpeace, or The Green party, as wells as smaller local collectives, participated in the event called, ""The Last Drop"".
","The event called The Last Drop was attended by representatives of large organizations such as the Rainbow Movement, Greenpeace or the Green Party, as well as smaller local associations.
"
Online-B,80,"""Máme tady například lidi, kteří vystupují dlouhodobě proti rozšiřování na dole Turów, jsou tady lidé, kteří vystupují proti těžbě štěrkopísku u Uherského Ostrohu, jsou tady lidé, kteří vystupují proti stavbě nesmyslných přehrad,"" řekla za organizátory Marika Volfová.
","""We have for example people who have been protesting against Turów mine expansion for a long time, there are people who protest against sandy gravel mining at Uherský Ostroh, there are people who protest against nonsense bulding of reservoirs,"" Marika Volfová said on behalf of the organisers.
","For instance, we have people here who have long been protesting against the expansion of the Turów Mine, there are protestors here taking a stand against gravel mining in Uhersky Ostroh as wells as protestors opposing the construction of pointless damns, said Marika Volfová, speaking for the organizers.
","""For example, we have people here who have been opposed to expansion at the Turów mine for a long time, there are people who are opposing gravel mining at Uherský Ostroh, there are people who are opposing the construction of meaningless dams,"" said Marika Volfová on behalf of the organizers.
"
